 Run datum (DD-MM-YY) and time: 5-10-2022   8:54

 Case name                                     



 Maxima per event

 Event   Start     Node identification   Node           Maximum_flow  
  nr  year-mon-day                       name               [m3/s]
===========================================================================
   1 1951 Jan   1   ucGRASLANDVEENGPG-O- ucGRASLANDVEENG        0.055
   1 1951 Jan   1   ucONGEDRAINEERDVEENG ucONGEDRAINEERD        0.148
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.091
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.029
   1 1951 Jan   1   ucGRASLANDKLEIGPG-O- ucGRASLANDKLEIG        0.076
   1 1951 Jan   1   ucONGEDRAINEERDKLEIG ucONGEDRAINEERD        0.001
   1 1951 Jan   1   ucONGEDRAINEERDKLEIG ucONGEDRAINEERD        0.064
   1 1951 Jan   1   ucGRASLANDKLEIGPG-O- ucGRASLANDKLEIG        0.106
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.432
   1 1951 Jan   1   ucGRASLANDVEENGPG-O- ucGRASLANDVEENG        0.041
   1 1951 Jan   1   ucONGEDRAINEERDVEENG ucONGEDRAINEERD        0.032
   1 1951 Jan   1   ucGRASLANDZANDGPG-O- ucGRASLANDZANDG        0.003
   1 1951 Jan   1   ucONGEDRAINEERDZANDG ucONGEDRAINEERD        0.001
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.003
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.106
   1 1951 Jan   1   ucBOOM_EN_FRUITKWEKE ucBOOM_EN_FRUIT        0.010
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.029
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.018
   1 1951 Jan   1   ucGRASLANDVEENGPG-O- ucGRASLANDVEENG        0.001
   1 1951 Jan   1   ucONGEDRAINEERDZANDG ucONGEDRAINEERD        0.000
   1 1951 Jan   1   ucONGEDRAINEERDVEENG ucONGEDRAINEERD        0.000
   1 1951 Jan   1   ucGRASLANDKLEIGPG-O- ucGRASLANDKLEIG        0.033
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.018
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.011
   1 1951 Jan   1   ucONGEDRAINEERDKLEIG ucONGEDRAINEERD        0.001
   1 1951 Jan   1   ucGRASLANDVEENGPG-O- ucGRASLANDVEENG        0.017
   1 1951 Jan   1   ucONGEDRAINEERDVEENG ucONGEDRAINEERD        0.002
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.000
   1 1951 Jan   1   ucGRASLANDZANDGPG-O- ucGRASLANDZANDG        0.000
   1 1951 Jan   1   ucONGEDRAINEERDKLEIG ucONGEDRAINEERD        0.204
   1 1951 Jan   1   ucGRASLANDKLEIGPG-O- ucGRASLANDKLEIG        1.556
