date time,[Input]measUpSW-S570/Water level (op),[SP]Control group of SW-S570/CTR_SW-S570,[Output]SW-S570/Crest level (s),[Status]Control group of SW-S570/CTR_SW-S570,[IntervalRule]Control group of SW-S570/CTR_SW-S570_isActive
2017-06-04 08:00:00,-0.0798758659874,-99,-84.6,1,1
2017-06-04 09:00:00,-0.0502322462497,-99,-84.42,1,1
2017-06-04 10:00:00,-0.0203397394643,-99,-84.24,1,1
2017-06-04 11:00:00,-0.0103676755891,-99,-84.06,1,1
2017-06-04 12:00:00,-0.0203169257351,-99,-83.88,1,1
2017-06-04 13:00:00,-0.0501920989269,-99,-83.7,1,1
2017-06-04 14:00:00,-0.0494421704346,-99,-83.52,1,1
2017-06-04 15:00:00,-0.00913915070894,-99,-83.34,1,1
2017-06-04 16:00:00,0.0293303456879,-99,-83.16,1,1
2017-06-04 17:00:00,0.0595754364099,-99,-82.98,1,1
2017-06-04 18:00:00,0.049421060804,-99,-82.8,1,1
2017-06-04 19:00:00,0.00945428370475,-99,-82.62,1,1
2017-06-04 20:00:00,-0.0396464510929,-99,-82.44,1,1
2017-06-04 21:00:00,-0.0696931632945,-99,-82.26,1,1
2017-06-04 22:00:00,-0.0998332305075,-99,-82.08,1,1
2017-06-04 23:00:00,-0.129859637252,-99,-81.9,1,1
2017-06-05 00:00:00,-0.159922803665,-99,-81.72,1,1
2017-06-05 01:00:00,-0.169769114273,-99,-81.54,1,1
2017-06-05 02:00:00,-0.169874592033,-99,-81.36,1,1
2017-06-05 03:00:00,-0.180153844077,-99,-81.18,1,1
2017-06-05 04:00:00,-0.179800289945,-99,-81,1,1
2017-06-05 05:00:00,-0.190198753061,-99,-80.82,1,1
2017-06-05 06:00:00,-0.210128211487,-99,-80.64,1,1
2017-06-05 07:00:00,-0.219861221881,-99,-80.46,1,1
2017-06-05 08:00:00,-0.20964800228,-99,-80.28,1,1
2017-06-05 09:00:00,-0.169682561463,-99,-80.1,1,1
2017-06-05 10:00:00,-0.140911083685,-99,-79.92,1,1
2017-06-05 11:00:00,-0.130433209014,-99,-79.74,1,1
2017-06-05 12:00:00,-0.120023272306,-99,-79.56,1,1
2017-06-05 13:00:00,-0.120136437313,-99,-79.38,1,1
2017-06-05 14:00:00,-0.140296706608,-99,-79.2,1,1
2017-06-05 15:00:00,-0.149810439893,-99,-79.02,1,1
2017-06-05 16:00:00,-0.14984933892,-99,-78.84,1,1
2017-06-05 17:00:00,-0.129469002377,-99,-78.66,1,1
2017-06-05 18:00:00,-0.100151510414,-99,-78.48,1,1
2017-06-05 19:00:00,-0.110749336491,-99,-78.3,1,1
2017-06-05 20:00:00,-0.150360969346,-99,-78.12,1,1
2017-06-05 21:00:00,-0.169663361299,-99,-77.94,1,1
2017-06-05 22:00:00,-0.16967619257,-99,-77.76,1,1
2017-06-05 23:00:00,-0.149431490272,-99,-77.58,1,1
2017-06-06 00:00:00,-0.150308757002,-99,-77.4,1,1
2017-06-06 01:00:00,-0.180818509346,-99,-77.22,1,1
2017-06-06 02:00:00,-0.229705454077,-99,-77.04,1,1
2017-06-06 03:00:00,-0.26954875913,-99,-76.86,1,1
2017-06-06 04:00:00,-0.299538194249,-99,-76.68,1,1
2017-06-06 05:00:00,-0.329804132037,-99,-76.5,1,1
2017-06-06 06:00:00,-0.33975661189,-99,-76.32,1,1
2017-06-06 07:00:00,-0.319459378085,-99,-76.14,1,1
2017-06-06 08:00:00,-0.289792990434,-99,-75.96,1,1
2017-06-06 09:00:00,-0.280176909639,-99,-75.78,1,1
2017-06-06 10:00:00,-0.300487358106,-99,-75.6,1,1
2017-06-06 11:00:00,-0.350686226125,-99,-75.42,1,1
2017-06-06 12:00:00,-0.40981820699,-99,-75.24,1,1
2017-06-06 13:00:00,-0.429912621361,-99,-75.06,1,1
2017-06-06 14:00:00,-0.389169280052,-99,-74.88,1,1
2017-06-06 15:00:00,-0.329308651341,-99,-74.7,1,1
2017-06-06 16:00:00,-0.251864411526,-99,-74.52,1,1
2017-06-06 17:00:00,-0.210963237616,-99,-74.34,1,1
2017-06-06 18:00:00,-0.170760545012,-99,-74.16,1,1
2017-06-06 19:00:00,-0.150158673104,-99,-73.98,1,1
2017-06-06 20:00:00,-0.150097006978,-99,-73.8,1,1
2017-06-06 21:00:00,-0.14984573775,-99,-73.62,1,1
2017-06-06 22:00:00,-0.180200295394,-99,-73.44,1,1
2017-06-06 23:00:00,-0.240143069933,-99,-73.26,1,1
2017-06-07 00:00:00,-0.259638081111,-99,-73.08,1,1
2017-06-07 01:00:00,-0.209357359591,-99,-72.9,1,1
2017-06-07 02:00:00,-0.140828562794,-99,-72.72,1,1
2017-06-07 03:00:00,-0.0902745481727,-99,-72.54,1,1
2017-06-07 04:00:00,-0.110821837201,-99,-72.36,1,1
2017-06-07 05:00:00,-0.161021405153,-99,-72.18,1,1
2017-06-07 06:00:00,-0.149216105894,-99,-72,1,1
2017-06-07 07:00:00,-0.0898442978596,-99,-71.82,1,1
2017-06-07 08:00:00,-0.0204131304533,-99,-71.64,1,1
2017-06-07 09:00:00,0.0291349541261,-99,-71.46,1,1
2017-06-07 10:00:00,0.0599734946569,-99,-71.28,1,1
2017-06-07 11:00:00,0.0902763348849,-99,-71.1,1,1
2017-06-07 12:00:00,0.13040380956,-99,-70.92,1,1
2017-06-07 13:00:00,0.179904301561,-99,-70.74,1,1
2017-06-07 14:00:00,0.228284819268,-99,-70.56,1,1
2017-06-07 15:00:00,0.249540979331,-99,-70.38,1,1
2017-06-07 16:00:00,0.269496409381,-99,-70.2,1,1
2017-06-07 17:00:00,0.269763963756,-99,-70.02,1,1
2017-06-07 18:00:00,0.250736638844,-99,-69.84,1,1
2017-06-07 19:00:00,0.201286045774,-99,-69.66,1,1
2017-06-07 20:00:00,0.151419998979,-99,-69.48,1,1
2017-06-07 21:00:00,0.101241109845,-99,-69.3,1,1
2017-06-07 22:00:00,0.0513288243619,-99,-69.12,1,1
2017-06-07 23:00:00,0.0107589571738,-99,-68.94,1,1
2017-06-08 00:00:00,-0.0293889978338,-99,-68.76,1,1
2017-06-08 01:00:00,-0.0693959435806,-99,-68.58,1,1
2017-06-08 02:00:00,-0.0896074259713,-99,-68.4,1,1
2017-06-08 03:00:00,-0.10989561066,-99,-68.22,1,1
2017-06-08 04:00:00,-0.120072999199,-99,-68.04,1,1
2017-06-08 05:00:00,-0.140081055534,-99,-67.86,1,1
2017-06-08 06:00:00,-0.160036979356,-99,-67.68,1,1
2017-06-08 07:00:00,-0.159870798711,-99,-67.5,1,1
2017-06-08 08:00:00,-0.169728447745,-99,-67.32,1,1
2017-06-08 09:00:00,-0.17992344889,-99,-67.14,1,1
2017-06-08 10:00:00,-0.189951424805,-99,-66.96,1,1
2017-06-08 11:00:00,-0.199984748485,-99,-66.78,1,1
2017-06-08 12:00:00,-0.189108297891,-99,-66.6,1,1
2017-06-08 13:00:00,-0.170442113012,-99,-66.42,1,1
2017-06-08 14:00:00,-0.149906051069,-99,-66.24,1,1
2017-06-08 15:00:00,-0.139951253364,-99,-66.06,1,1
2017-06-08 16:00:00,-0.140078307259,-99,-65.88,1,1
2017-06-08 17:00:00,-0.150022958356,-99,-65.7,1,1
2017-06-08 18:00:00,-0.159819255615,-99,-65.52,1,1
2017-06-08 19:00:00,-0.169943271228,-99,-65.34,1,1
2017-06-08 20:00:00,-0.16982602689,-99,-65.16,1,1
2017-06-08 21:00:00,-0.139538865912,-99,-64.98,1,1
2017-06-08 22:00:00,-0.100701301106,-99,-64.8,1,1
2017-06-08 23:00:00,-0.110819296229,-99,-64.62,1,1
2017-06-09 00:00:00,-0.140382490679,-99,-64.44,1,1
2017-06-09 01:00:00,-0.189609713174,-99,-64.26,1,1
2017-06-09 02:00:00,-0.208801661943,-99,-64.08,1,1
2017-06-09 03:00:00,-0.199458989473,-99,-63.9,1,1
2017-06-09 04:00:00,-0.190084786064,-99,-63.72,1,1
2017-06-09 05:00:00,-0.180284849752,-99,-63.54,1,1
2017-06-09 06:00:00,-0.200133893424,-99,-63.36,1,1
2017-06-09 07:00:00,-0.199676674673,-99,-63.18,1,1
2017-06-09 08:00:00,-0.156795266673,-99,-63,1,1
2017-06-09 09:00:00,-0.109742079429,-99,-62.82,1,1
2017-06-09 10:00:00,-0.0906490876036,-99,-62.64,1,1
2017-06-09 11:00:00,-0.141985659704,-99,-62.46,1,1
2017-06-09 12:00:00,-0.19785986943,-99,-62.28,1,1
2017-06-09 13:00:00,-0.229043579405,-99,-62.1,1,1
2017-06-09 14:00:00,-0.150185667966,-99,-61.92,1,1
2017-06-09 15:00:00,-0.0603652373503,-99,-61.74,1,1
2017-06-09 16:00:00,0.00872698351448,-99,-61.56,1,1
2017-06-09 17:00:00,0.0556093924324,-99,-61.38,1,1
2017-06-09 18:00:00,0.0604987304664,-99,-61.2,1,1
2017-06-09 19:00:00,0.0317341509584,-99,-61.02,1,1
2017-06-09 20:00:00,-0.0182511550276,-99,-60.84,1,1
2017-06-09 21:00:00,-0.058762710597,-99,-60.66,1,1
2017-06-09 22:00:00,-0.0790062412454,-99,-60.48,1,1
2017-06-09 23:00:00,-0.0993194066483,-99,-60.3,1,1
2017-06-10 00:00:00,-0.119468401357,-99,-60.12,1,1
2017-06-10 01:00:00,-0.139476885192,-99,-59.94,1,1
2017-06-10 02:00:00,-0.159508893189,-99,-59.76,1,1
2017-06-10 03:00:00,-0.149949222929,-99,-59.58,1,1
2017-06-10 04:00:00,-0.140097530704,-99,-59.4,1,1
2017-06-10 05:00:00,-0.140238404274,-99,-59.22,1,1
2017-06-10 06:00:00,-0.14017269745,-99,-59.04,1,1
2017-06-10 07:00:00,-0.140170947741,-99,-58.86,1,1
2017-06-10 08:00:00,-0.11981766241,-99,-58.68,1,1
2017-06-10 09:00:00,-0.120270534365,-99,-58.5,1,1
2017-06-10 10:00:00,-0.160017682386,-99,-58.32,1,1
2017-06-10 11:00:00,-0.189482183542,-99,-58.14,1,1
2017-06-10 12:00:00,-0.149337924534,-99,-57.96,1,1
2017-06-10 13:00:00,-0.140345270466,-99,-57.78,1,1
2017-06-10 14:00:00,-0.120168851525,-99,-57.6,1,1
2017-06-10 15:00:00,-0.110217316024,-99,-57.42,1,1
2017-06-10 16:00:00,-0.110152180191,-99,-57.24,1,1
2017-06-10 17:00:00,-0.109983731811,-99,-57.06,1,1
2017-06-10 18:00:00,-0.119949750749,-99,-56.88,1,1
2017-06-10 19:00:00,-0.119837598561,-99,-56.7,1,1
2017-06-10 20:00:00,-0.129960432436,-99,-56.52,1,1
2017-06-10 21:00:00,-0.169779698367,-99,-56.34,1,1
2017-06-10 22:00:00,-0.199499863743,-99,-56.16,1,1
2017-06-10 23:00:00,-0.199720604257,-99,-55.98,1,1
2017-06-11 00:00:00,-0.179759348836,-99,-55.8,1,1
2017-06-11 01:00:00,-0.149989449002,-99,-55.62,1,1
2017-06-11 02:00:00,-0.120435816533,-99,-55.44,1,1
2017-06-11 03:00:00,-0.120482715277,-99,-55.26,1,1
2017-06-11 04:00:00,-0.150133254471,-99,-55.08,1,1
2017-06-11 05:00:00,-0.159663549849,-99,-54.9,1,1
2017-06-11 06:00:00,-0.169733753113,-99,-54.72,1,1
2017-06-11 07:00:00,-0.179904529204,-99,-54.54,1,1
2017-06-11 08:00:00,-0.189974135479,-99,-54.36,1,1
2017-06-11 09:00:00,-0.210012314695,-99,-54.18,1,1
2017-06-11 10:00:00,-0.219837792453,-99,-54,1,1
2017-06-11 11:00:00,-0.20968980129,-99,-53.82,1,1
2017-06-11 12:00:00,-0.179864907694,-99,-53.64,1,1
2017-06-11 13:00:00,-0.150232503249,-99,-53.46,1,1
2017-06-11 14:00:00,-0.140420980502,-99,-53.28,1,1
2017-06-11 15:00:00,-0.140181061225,-99,-53.1,1,1
2017-06-11 16:00:00,-0.129910463951,-99,-52.92,1,1
2017-06-11 17:00:00,-0.109893736603,-99,-52.74,1,1
2017-06-11 18:00:00,-0.080222038021,-99,-52.56,1,1
