date time,[Input]measUpSW-S570/Water level (op),[SP]Control group of SW-S570/CTR_SW-S570,[Output]SW-S570/Crest level (s),[Status]Control group of SW-S570/CTR_SW-S570,[IntervalRule]Control group of SW-S570/CTR_SW-S570_isActive
2017-06-04 08:00:00,-0.0798925920228,-99,-84.6,1,1
2017-06-04 09:00:00,-0.0502473377472,-99,-84.42,1,1
2017-06-04 10:00:00,-0.0203489203358,-99,-84.24,1,1
2017-06-04 11:00:00,-0.0103632431891,-99,-84.06,1,1
2017-06-04 12:00:00,-0.0203012843913,-99,-83.88,1,1
2017-06-04 13:00:00,-0.0501599507167,-99,-83.7,1,1
2017-06-04 14:00:00,-0.0494327769458,-99,-83.52,1,1
2017-06-04 15:00:00,-0.00916474006769,-99,-83.34,1,1
2017-06-04 16:00:00,0.0293128928274,-99,-83.16,1,1
2017-06-04 17:00:00,0.0595611358694,-99,-82.98,1,1
2017-06-04 18:00:00,0.0494420863103,-99,-82.8,1,1
2017-06-04 19:00:00,0.00951023924752,-99,-82.62,1,1
2017-06-04 20:00:00,-0.0396060870635,-99,-82.44,1,1
2017-06-04 21:00:00,-0.0696907051778,-99,-82.26,1,1
2017-06-04 22:00:00,-0.0998302421273,-99,-82.08,1,1
2017-06-04 23:00:00,-0.129860011234,-99,-81.9,1,1
2017-06-05 00:00:00,-0.159922113718,-99,-81.72,1,1
2017-06-05 01:00:00,-0.169777981275,-99,-81.54,1,1
2017-06-05 02:00:00,-0.169887422196,-99,-81.36,1,1
2017-06-05 03:00:00,-0.18016062424,-99,-81.18,1,1
2017-06-05 04:00:00,-0.17981030889,-99,-81,1,1
2017-06-05 05:00:00,-0.190198032307,-99,-80.82,1,1
2017-06-05 06:00:00,-0.210124749992,-99,-80.64,1,1
2017-06-05 07:00:00,-0.219858631729,-99,-80.46,1,1
2017-06-05 08:00:00,-0.209658205932,-99,-80.28,1,1
2017-06-05 09:00:00,-0.169487509527,-99,-80.1,1,1
2017-06-05 10:00:00,-0.140531349216,-99,-79.92,1,1
2017-06-05 11:00:00,-0.130369534337,-99,-79.74,1,1
2017-06-05 12:00:00,-0.119986767371,-99,-79.56,1,1
2017-06-05 13:00:00,-0.120109427879,-99,-79.38,1,1
2017-06-05 14:00:00,-0.140269734087,-99,-79.2,1,1
2017-06-05 15:00:00,-0.149792824119,-99,-79.02,1,1
2017-06-05 16:00:00,-0.14984109923,-99,-78.84,1,1
2017-06-05 17:00:00,-0.129487006139,-99,-78.66,1,1
2017-06-05 18:00:00,-0.100165747321,-99,-78.48,1,1
2017-06-05 19:00:00,-0.110740382015,-99,-78.3,1,1
2017-06-05 20:00:00,-0.150335369994,-99,-78.12,1,1
2017-06-05 21:00:00,-0.169648421469,-99,-77.94,1,1
2017-06-05 22:00:00,-0.169675796409,-99,-77.76,1,1
2017-06-05 23:00:00,-0.149452812602,-99,-77.58,1,1
2017-06-06 00:00:00,-0.150316710224,-99,-77.4,1,1
2017-06-06 01:00:00,-0.180800283559,-99,-77.22,1,1
2017-06-06 02:00:00,-0.229686714853,-99,-77.04,1,1
2017-06-06 03:00:00,-0.269535257909,-99,-76.86,1,1
2017-06-06 04:00:00,-0.299536135361,-99,-76.68,1,1
2017-06-06 05:00:00,-0.329801749268,-99,-76.5,1,1
2017-06-06 06:00:00,-0.339761677722,-99,-76.32,1,1
2017-06-06 07:00:00,-0.319461265327,-99,-76.14,1,1
2017-06-06 08:00:00,-0.289803382301,-99,-75.96,1,1
2017-06-06 09:00:00,-0.280166907057,-99,-75.78,1,1
2017-06-06 10:00:00,-0.300472979894,-99,-75.6,1,1
2017-06-06 11:00:00,-0.350662382501,-99,-75.42,1,1
2017-06-06 12:00:00,-0.409822432767,-99,-75.24,1,1
2017-06-06 13:00:00,-0.429922198724,-99,-75.06,1,1
2017-06-06 14:00:00,-0.38919040274,-99,-74.88,1,1
2017-06-06 15:00:00,-0.329328144819,-99,-74.7,1,1
2017-06-06 16:00:00,-0.251868400541,-99,-74.52,1,1
2017-06-06 17:00:00,-0.210958186512,-99,-74.34,1,1
2017-06-06 18:00:00,-0.170761261247,-99,-74.16,1,1
2017-06-06 19:00:00,-0.150153058667,-99,-73.98,1,1
2017-06-06 20:00:00,-0.150086428303,-99,-73.8,1,1
2017-06-06 21:00:00,-0.149838956895,-99,-73.62,1,1
2017-06-06 22:00:00,-0.180175320032,-99,-73.44,1,1
2017-06-06 23:00:00,-0.240112529086,-99,-73.26,1,1
2017-06-07 00:00:00,-0.259652859726,-99,-73.08,1,1
2017-06-07 01:00:00,-0.20940546698,-99,-72.9,1,1
2017-06-07 02:00:00,-0.140861331187,-99,-72.72,1,1
2017-06-07 03:00:00,-0.0902860823947,-99,-72.54,1,1
2017-06-07 04:00:00,-0.110802452849,-99,-72.36,1,1
2017-06-07 05:00:00,-0.160981635583,-99,-72.18,1,1
2017-06-07 06:00:00,-0.14922248217,-99,-72,1,1
2017-06-07 07:00:00,-0.0898767473999,-99,-71.82,1,1
2017-06-07 08:00:00,-0.0204131194302,-99,-71.64,1,1
2017-06-07 09:00:00,0.0291414490452,-99,-71.46,1,1
2017-06-07 10:00:00,0.0599883075024,-99,-71.28,1,1
2017-06-07 11:00:00,0.090299862195,-99,-71.1,1,1
2017-06-07 12:00:00,0.130406646771,-99,-70.92,1,1
2017-06-07 13:00:00,0.179893745166,-99,-70.74,1,1
2017-06-07 14:00:00,0.229772987195,-99,-70.56,1,1
2017-06-07 15:00:00,0.249569731057,-99,-70.38,1,1
2017-06-07 16:00:00,0.269911437604,-99,-70.2,1,1
2017-06-07 17:00:00,0.269878188863,-99,-70.02,1,1
2017-06-07 18:00:00,0.250157165484,-99,-69.84,1,1
2017-06-07 19:00:00,0.201216800154,-99,-69.66,1,1
2017-06-07 20:00:00,0.150789805968,-99,-69.48,1,1
2017-06-07 21:00:00,0.101166086204,-99,-69.3,1,1
2017-06-07 22:00:00,0.0511849902107,-99,-69.12,1,1
2017-06-07 23:00:00,0.0107798224738,-99,-68.94,1,1
2017-06-08 00:00:00,-0.0293885554343,-99,-68.76,1,1
2017-06-08 01:00:00,-0.0693954326062,-99,-68.58,1,1
